PLAYER,GP,AVG,TTL
CHRISTIAN MCCAFFREY,16,25.3,404.9
JOSH ALLEN,16,23.4,374.6
BIJAN ROBINSON,16,22.7,363.5
JONATHAN TAYLOR,16,22.3,356.4
PUKA NACUA,15,23.3,349.0
JAHMYR GIBBS,16,21.7,346.6
JAXON SMITH-NJIGBA,16,21.6,345.5
DRAKE MAYE,16,21.5,344.2
MATTHEW STAFFORD,16,20.7,331.7
TREVOR LAWRENCE,16,20.4,326.9
DAK PRESCOTT,16,20.2,323.1
DEVON ACHANE,16,20.2,322.8
CALEB WILLIAMS,16,19.2,307.6
BO NIX,16,19.1,305.3
JALEN HURTS,16,19.1,305.1
TREY MCBRIDE,16,18.9,302.4
JAMES COOK,16,18.8,300.7
JUSTIN HERBERT,16,18.7,299.9
AMON-RA ST BROWN,16,18.7,299.1
PATRICK MAHOMES,14,21.2,296.7
JAMARR CHASE,15,19.3,290.0
GEORGE PICKENS,16,18.1,290.0
JARED GOFF,16,18.1,288.8
CHRIS OLAVE,16,16.8,269.0
BAKER MAYFIELD,16,16.8,268.7
DERRICK HENRY,16,16.7,266.9
CHASE BROWN,16,16.5,263.6
KYREN WILLIAMS,16,15.8,252.2
TRAVIS ETIENNE,16,15.6,249.1
JAVONTE WILLIAMS,16,15.2,242.8
JORDAN LOVE,15,16.1,241.1
SAM DARNOLD,16,15.0,240.6
JOSH JACOBS,15,15.8,237.1
DANIEL JONES,13,18.0,234.4
ASHTON JEANTY,16,14.5,232.7
SAQUON BARKLEY,16,14.5,232.3
JAXSON DART,13,17.4,226.2
NICO COLLINS,15,15.1,226.2
DAVANTE ADAMS,14,15.9,222.9
DANDRE SWIFT,15,14.9,222.8
AJ BROWN,15,14.7,220.3
JACOBY BRISSETT,13,16.8,218.8
COURTLAND SUTTON,16,13.6,218.2
WANDALE ROBINSON,16,13.6,217.9
AARON RODGERS,15,14.4,216.3
ZAY FLOWERS,16,13.3,213.5
RICO DOWDLE,16,13.3,213.3
BRYCE YOUNG,15,14.1,211.5
BREECE HALL,16,13.0,207.7
JAMESON WILLIAMS,16,12.9,206.5
STEFON DIGGS,16,12.7,203.0
RJ HARVEY,16,12.6,202.3
JAYLEN WARREN,15,13.5,202.2
TETAIROA MCMILLAN,16,12.6,200.9
LAMAR JACKSON,12,16.7,200.4
KENNY GAINWELL,16,12.5,199.9
MICHAEL WILSON,16,12.5,199.7
CEEDEE LAMB,13,15.3,199.5
MICHAEL PITTMAN,16,12.5,199.3
CJ STROUD,13,15.3,199.3
KYLE PITTS,16,12.4,199.0
JAYLEN WADDLE,16,12.1,194.1
JASON MYERS,16,12.1,194.0
EMEKA EGBUKA,16,12.1,193.9
DEVONTA SMITH,16,12.1,193.6
TEE HIGGINS,14,13.8,192.9
GENO SMITH,15,12.7,190.9
TRAVIS KELCE,16,11.8,189.0
TREVEYON HENDERSON,16,11.8,188.9
DK METCALF,15,12.5,187.2
JAKE FERGUSON,16,11.7,186.6
HAROLD FANNIN,16,11.7,186.4
DALLAS GOEDERT,15,12.3,185.1
CAMERON WARD,16,11.5,184.5
DRAKE LONDON,11,16.7,184.1
DEEBO SAMUEL,15,12.3,184.1
JUSTIN JEFFERSON,16,11.4,183.1
BRANDON AUBREY,16,11.4,182.6
BROCK PURDY,8,22.7,181.2
LADD MCCONKEY,16,11.3,180.9
TYLER WARREN,16,11.3,180.9
TROY FRANKLIN,16,11.1,177.1
TONY POLLARD,16,11.0,176.3
BROCK BOWERS,12,14.7,176.2
TUA TAGOVAILOA,14,12.6,175.7
KENNETH WALKER,16,10.9,174.6
JUWAN JOHNSON,16,10.8,172.8
KEENAN ALLEN,16,10.8,172.1
QUENTIN JOHNSTON,14,12.2,171.2
QUINSHON JUDKINS,14,12.1,169.8
HUNTER HENRY,16,10.5,168.2
DJ MOORE,16,10.5,168.1
KAIMI FAIRBAIRN,14,12.0,168.0
CAMERON DICKER,16,10.4,167.0
SEATTLE SEAHAWKS,16,10.4,167.0
KHALIL SHAKIR,16,10.4,166.4
JAKOBI MEYERS,15,11.1,166.4
DALTON SCHULTZ,16,10.4,166.4
JAUAN JENNINGS,14,11.8,165.8
ROMEO DOUBS,16,10.3,165.4
PARKER WASHINGTON,15,11.0,165.0
ZACH CHARBONNET,15,10.8,162.7
DAVID MONTGOMERY,16,10.0,160.4
JOE FLACCO,12,13.0,156.5
TRE TUCKER,16,9.8,156.3
RASHID SHAHEED,17,9.1,155.4
ALEC PIERCE,14,11.0,154.1
GEORGE KITTLE,10,15.4,153.6
HOUSTON TEXANS,16,9.5,152.0
RASHEE RICE,8,18.8,150.1
CAM LITTLE,16,9.3,149.0
WILL REICHARD,16,9.3,148.0
ROME ODUNZE,12,12.2,146.1
CHASE MCLAUGHLIN,16,9.1,145.0
GABE MARKS,15,9.6,144.3
AJ BARNER,16,9.0,143.9
JUSTIN FIELDS,9,16.0,143.7
RHAMONDRE STEVENSON,13,11.0,143.5
TYLER SHOUGH,10,14.1,141.2
CHRIS BOSWELL,16,8.8,141.0
KYLE MONANGAI,16,8.8,140.8
COLSTON LOVELAND,15,9.3,140.0
ANDRES BORREGALES,16,8.7,139.0
KAREEM HUNT,16,8.7,138.9
JAKE BATES,16,8.6,138.0
JACORY MERRITT,16,8.6,137.4
TYLER LOOP,16,8.6,137.0
RACHAAD WHITE,16,8.6,136.9
EVAN MCPHERSON,16,8.5,136.0
EDDY PINEIRO,13,10.5,136.0
MAC JONES,11,12.4,136.0
OMARION HAMPTON,9,15.1,135.7
HARRISON BUTKER,16,8.4,134.0
JOEY SLYE,15,8.9,134.0
JORDAN ADDISON,13,10.3,133.3
TYRONE TRACY,14,9.5,132.9
MARCUS MARIOTA,12,11.0,132.5
CHRISTIAN WATSON,10,13.2,132.4
CAIRO SANTOS,14,9.4,132.0
JACKSONVILLE JAGUARS,16,8.2,131.0
PHILADELPHIA EAGLES,16,8.2,131.0
BRIAN THOMAS,13,10.1,130.9
JJ MCCARTHY,9,14.4,129.4
MARQUISE BROWN,15,8.6,128.3
MARVIN HARRISON,12,10.7,127.8
THEO JOHNSON,15,8.5,127.8
CAMERON SKATTEBO,8,16.0,127.7
MARKEISE IRVING,9,14.2,127.7
MARK ANDREWS,16,8.0,127.6
ORONDE GADSDEN,14,9.1,127.1
NICK FOLK,16,7.9,127.0
JOSH DOWNS,15,8.5,126.8
ZACH ERTZ,13,9.7,126.4
RILEY PATTERSON,16,7.9,126.0
PITTSBURGH STEELERS,16,7.8,125.0
MINNESOTA VIKINGS,16,7.8,125.0
LOS ANGELES RAMS,16,7.8,125.0
MICHAEL PENIX,9,13.7,123.3
DENVER BRONCOS,16,7.6,122.0
CHIGOZIEM OKONKWO,16,7.6,121.8
CHUBA HUBBARD,14,8.7,121.7
CHIMERE DIKE,16,7.5,120.4
LUTHER BURDEN,14,8.6,120.4
TYLER ALLGEIER,16,7.5,120.1
WIL LUTZ,16,7.5,120.0
KAYSHON BOUTTE,13,9.2,119.7
JORDAN MASON,15,8.0,119.5
JAYDEN HIGGINS,16,7.5,119.2
CHAD RYLAND,16,7.4,119.0
AARON JONES,12,9.9,118.7
DALTON KINCAID,11,10.8,118.3
JOE BURROW,7,16.8,117.3
JAYDEN DANIELS,7,16.8,117.3
TUCKER KRAFT,8,14.6,117.2
JERRY JEUDY,16,7.3,116.5
KIMANI VIDAL,12,9.7,115.9
JK DOBBINS,10,11.6,115.9
NEW ENGLAND PATRIOTS,16,7.2,115.0
BLAKE GRUPE,15,7.7,115.0
BLAKE CORUM,16,7.1,114.3
MACK HOLLINS,15,7.6,113.4
TJ HOCKENSON,15,7.5,112.8
COOPER KUPP,15,7.5,112.4
CLEVELAND BROWNS,16,7.0,112.0
JAKE ELLIOTT,16,6.9,111.0
ATLANTA FALCONS,16,6.9,111.0
NEW ORLEANS SAINTS,16,6.9,111.0
COLBY PARKINSON,14,7.9,110.2
BRANDON MCMANUS,13,8.5,110.0
XAVIER WORTHY,14,7.9,109.9
CHICAGO BEARS,16,6.8,109.0
RYAN FITZGERALD,16,6.8,109.0
ELIC AYOMANOR,15,7.2,108.5
SAM LAPORTA,9,11.9,106.9
PAT FREIERMUTH,16,6.6,105.5
BUFFALO BILLS,16,6.6,105.0
MATT PRATER,14,7.5,105.0
MALIK WASHINGTON,16,6.6,104.9
TERRY MCLAURIN,9,11.6,104.5
SPENCER RATTLER,9,11.6,104.1
ANDRE SZMYT,16,6.4,103.0
LOS ANGELES CHARGERS,16,6.4,103.0
RYAN FLOURNOY,14,7.3,102.2
TYJAE SPEARS,12,8.5,102.0
BRENTON STRANGE,11,9.2,100.8
ALVIN KAMARA,11,9.2,100.7
INDIANAPOLIS COLTS,16,6.3,100.0
CADE OTTON,15,6.7,99.8
GARRETT WILSON,7,14.2,99.5
KIRK COUSINS,9,10.9,98.3
DEVIN SINGLETARY,16,6.1,98.2
MIAMI DOLPHINS,16,6.1,97.0
CAROLINA PANTHERS,16,6.0,96.0
EVAN ENGRAM,15,6.4,95.3
KEON COLEMAN,12,7.8,93.5
DAWSON KNOX,16,5.8,93.3
JAKE TONGES,16,5.8,93.3
BALTIMORE RAVENS,16,5.8,93.0
DETROIT LIONS,16,5.8,93.0
TREVOR KNIGHT,12,7.7,92.9
JALEN NAILOR,16,5.8,92.8
KENDRICK BOURNE,15,6.1,92.1
MICHAEL CARTER,12,7.7,92.1
TAMPA BAY BUCCANEERS,16,5.8,92.0
SEAN TUCKER,16,5.7,91.8
GUNNAR HELM,16,5.7,91.7
MATT GAY,12,7.6,91.0
DEMARIO DOUGLAS,16,5.7,90.9
MARVIN MIMS,15,6.0,90.0
SHEDEUR SANDERS,7,12.8,89.9
TEZ JOHNSON,15,6.0,89.4
DARIUS SLAYTON,13,6.9,89.4
TENNESSEE TITANS,16,5.6,89.0
MASON TAYLOR,13,6.8,88.9
DARREN WALLER,9,9.9,88.7
EMANUEL WILSON,16,5.5,88.7
RICKY PEARSALL,10,8.9,88.6
NICK CHUBB,15,5.9,88.3
ADONAI MITCHELL,15,5.9,87.9
ISIAH PACHECO,13,6.7,87.3
DANIEL CARLSON,16,5.4,87.0
ANDREI IOSIVAS,16,5.4,86.9
DAVID NJOKU,12,7.2,86.3
OLAMIDE ZACCHEAUS,15,5.7,84.8
XAVIER HUTCHINSON,16,5.3,84.6
XAVIER LEGETTE,14,6.0,84.1
KAVONTAE TURPIN,14,6.0,83.8
JONNU SMITH,16,5.2,83.8
STERLING SHEPARD,13,6.3,82.0
DYLAN SAMPSON,14,5.8,81.2
CHRIS GODWIN,8,10.2,81.2
KANSAS CITY CHIEFS,16,5.1,81.0
TYQUAN THORNTON,14,5.8,80.8
KYLER MURRAY,5,16.2,80.8
TY JOHNSON,16,5.0,80.7
BHAYSHUL TUTEN,14,5.7,80.3
LAQUVIONTE GONZALEZ,8,10.0,80.0
ARIZONA CARDINALS,16,5.0,80.0
MIKE EVANS,7,11.3,79.4
DARNELL MOONEY,14,5.5,77.3
CHRISTOPHER RODRIGUEZ,12,6.4,76.7
DONTAYVION WICKS,14,5.4,75.8
CARSON WENTZ,5,15.1,75.3
NOAH FANT,14,5.4,75.3
GREG DORTCH,12,6.3,75.1
GREEN BAY PACKERS,16,4.6,74.0
JALEN COKER,10,7.4,73.7
DARNELL WASHINGTON,16,4.6,73.4
COLE KMET,15,4.9,73.1
ISAAC TESLAA,16,4.6,73.1
JAKE MOODY,8,9.1,73.0
DILLON GABRIEL,10,7.2,72.1
SAN FRANCISCO 49ERS,16,4.5,72.0
NEW YORK GIANTS,16,4.5,72.0
CALVIN AUSTIN,13,5.5,71.7
TYLER LOCKETT,16,4.5,71.6
ISAIAH DAVIS,16,4.5,71.2
JEREMY MCNICHOLS,16,4.4,70.6
JUJU SMITH-SCHUSTER,16,4.4,70.2
VAN JEFFERSON,16,4.4,70.0
WASHINGTON COMMANDERS,16,4.4,70.0
SAMAJE PERINE,14,5.0,69.7
MATTHEW GOLDEN,13,5.2,68.2
PAT BRYANT,14,4.8,67.7
MIKE GESICKI,12,5.6,67.4
DAVIS MILLS,5,13.4,67.0
CINCINNATI BENGALS,16,4.2,67.0
HARRISON MEVIS,8,8.4,67.0
DEANDRE HOPKINS,16,4.2,67.0
JOHN METCHIE,15,4.5,66.9
DEVAUGHN VELE,13,5.1,66.3
MICHAEL MAYER,12,5.5,66.1
JAYLIN NOEL,16,4.1,66.1
JUSTICE HILL,10,6.5,65.2
TORY HORTON,8,8.1,65.1
TRE HARRIS,16,4.0,64.6
TYROD TAYLOR,6,10.7,64.5
TRAVIS HUNTER,7,9.1,63.8
DAVIS ALLEN,16,3.9,62.8
MICHAEL BADGLEY,9,6.9,62.0
BRIAN ROBINSON,16,3.8,61.6
DEVIN NEAL,9,6.7,60.0
KALIF RAYMOND,14,4.2,58.6
JOSHUA KARTY,8,7.3,58.0
AUSTIN HOOPER,15,3.9,57.8
CHRISTIAN KIRK,12,4.8,57.2
MALIK NABERS,4,14.3,57.1
SPENCER SHRADER,5,11.4,57.0
LAS VEGAS RAIDERS,16,3.6,57.0
GREG DULCICH,9,6.3,56.7
JAKE BROWNING,5,11.3,56.7
CEDRIC TILLMAN,12,4.7,56.7
ISAIAH LIKELY,13,4.3,56.5
BRASHARD SMITH,16,3.5,55.5
KYLE JUSZCZYK,16,3.5,55.5
RASHOD BATEMAN,13,4.3,55.4
KEATON MITCHELL,12,4.6,55.2
CHARLIE SMYTH,5,11.0,55.0
DALLAS COWBOYS,16,3.4,54.0
JATAVION SANDERS,13,4.2,54.0
TYREEK HILL,4,13.4,53.5
RUSSELL WILSON,6,8.8,52.8
DEMARCUS ROBINSON,13,4.1,52.8
ELIJAH HIGGINS,16,3.3,52.3
TERRANCE FERGUSON,13,4.0,52.1
ISAIAH BOND,15,3.5,52.0
OLLIE GORDON,16,3.3,52.0
BRANDIN COOKS,15,3.5,51.9
JACKSON HAWES,16,3.2,51.7
EMARI DEMERCADO,12,4.3,51.6
LUKE MCCAFFREY,9,5.7,51.3
ISAIAH WILLIAMS,14,3.7,51.3
JOSH PALMER,11,4.7,51.2
MALIK WILLIS,4,12.8,51.2
TOMMY TREMBLE,16,3.2,51.1
TYLER HIGBEE,9,5.7,51.0
NEW YORK JETS,16,3.2,51.0
TIM PATRICK,15,3.4,50.3
JOSH OLIVER,14,3.6,50.1
LUKE MUSGRAVE,16,3.1,49.2
JAYLIN LANE,15,3.3,49.2
KYLE WILLIAMS,16,3.0,48.7
JAYDEN REED,6,8.1,48.5
JOHN PARKER ROMO,7,6.9,48.0
DYAMI BROWN,14,3.4,47.9
TANNER HUDSON,12,4.0,47.8
DANIEL BELLINGER,15,3.2,47.8
CALVIN RIDLEY,7,6.8,47.3
DAVID SILLS,16,2.9,47.0
JEREMY RUCKERT,16,2.9,46.9
XAVIER SMITH,15,3.1,46.7
MITCHELL EVANS,16,2.9,46.7
JALEN TOLBERT,12,3.9,46.3
TYRELL SHAVERS,16,2.8,45.5
ADAM TRAUTMAN,16,2.8,45.5
JAMEIS WINSTON,3,15.1,45.3
JAYLEN WRIGHT,10,4.4,44.2
JEROME FORD,13,3.4,43.6
JAHAN DOTSON,16,2.7,43.2
JACK BECH,15,2.8,42.4
MALIK DAVIS,10,4.1,40.6
TYLER HUNTLEY,5,8.0,40.1
GRAHAM GANO,5,7.8,39.0
KINGSTON DAVIS,16,2.4,38.7
ROMAN WILSON,14,2.8,38.6
CHRIS MOORE,13,3.0,38.6
TYLER JOHNSON,12,3.1,37.7
ELIJAH ARROYO,13,2.8,36.9
BROCK WRIGHT,11,3.3,36.8
ZAVIER SCOTT,10,3.7,36.5
JORDAN WHITTINGTON,16,2.3,36.3
CHARLIE KOLAR,16,2.3,36.2
CARTAVIOUS BIGSBY,15,2.4,36.2
HUNTER RENFROW,6,6.0,35.9
TAYSOM HILL,12,3.0,35.6
TREY BENSON,5,7.1,35.4
PHILIP LUTZENKIRCHEN,3,11.6,34.7
LILJORDAN HUMPHREY,9,3.8,34.6
HUNTER LUEPKE,16,2.2,34.4
KENDRE MILLER,7,4.8,33.3
JAMES CONNER,4,8.3,33.3
